'Ben Webster','Chelsea Bridge'
'Brinsley Schwarz','Home in My Hand'
'The Rolling Stones','As Tears Go By'
'Nirvana','Smells Like Teen Spirit'
'Simon & Garfunkel','The Sound of Silence'
'The Stooges','Raw Power'
'Rufus Thomas','Do the Funky Chicken'
'Melvins','Gluey Porch Treatments'
'Bruce Springsteen','Glory Days'
'Joni Mitchell','Raised on Robbery'
'Glen Campbell','Wichita Lineman'
'Frank Sinatra','Angel Eyes'
'The Monkees','(Theme From) The Monkees'
'Bob Dylan','Like a Rolling Stone'
'LL Cool J','Mama Said Knock You Out'
'Barenaked Ladies','Brian Wilson'
'Ash','Girl from Mars'
'Lambert',"' Hendricks & Ross""'"
'Petula Clark','Don''''t Sleep in the Subway'
'Black Sabbath','Iron Man'
'Therapy?','Screamager'
'Al Green','Here I Am (Come and Take Me)'
'Jackson Browne','Somebody''''s Baby'
'The Byrds','Hickory Wind'
'Belly','Feed the Tree'
"'Bruce Springsteen; the E Street Band, Bruce Springsteen'",'The River'
'Louis Jordan','Saturday Night Fish Fry'
'Patsy Cline','I Fall to Pieces'
'Dean Martin','You''''re Nobody ''''Til Somebody Loves You'
'Digital Underground','Doowutchyalike'
'Spoon','Metal School'
'Grand Funk Railroad','We''''re an American Band'
'Bruce Springsteen','My Hometown'
'Tito Puente','Hot Timbales'
'James Brown','Papa''''s Got a Brand New Bag'
'Willie Nelson','Blue Skies'
'Ice Cube','Check Yo Self'
'Bettie Serveert','Palomine'
'The Beach Boys','Girl Don''''t Tell Me'
'The Buggles','Video Killed the Radio Star'
'Pink Floyd','Arnold Layne'
'Frank Sinatra','Strangers in the Night'
'At the Drive-In','Quarantined'
'Creedence Clearwater Revival','Down on the Corner'
'Talking Heads','Life During Wartime'
'Frank Sinatra','Come Rain or Come Shine'
'The Rolling Stones','Play with Fire'
'Bruce Springsteen','Open All Night'
'Fleetwood Mac','Rhiannon'
'Steely Dan','Black Cow'
'Jethro Tull','Aqualung'
'Clifford Brown','Joy Spring'
'Mott the Hoople','All the Way from Memphis'
'Wanda Jackson','Let''''s Have a Party'
'Sagittarius','My World Fell Down'
'The Everly Brothers','Crying in the Rain'
'Clarence Carter','Slip Away'
'Tommy Keene','Places That Are Gone'
'The Moog Cookbook','More Than a Feeling'
'The Main Ingredient','Everybody Plays the Fool'
'Joni Mitchell',"'""Both Sides'"
'The Velvet Underground','Pale Blue Eyes'
'Bad Manners','Lip up Fatty'
'Frank Sinatra','Put Your Dreams Away (For Another Day)'
'Half Japanese','Miracles Happen Every Day'
'John Lennon','Mother'
'The Divine Comedy','Becoming More Like Alfie'
'Dolly Parton','9 to 5'
'Roxy Music','Dance Away'
"'Gladys Knight; the Pips, Gladys Knight'",'Neither One of Us (Wants to Be the First to Say Goodbye)'
'Metallica','One'
'Wilson Pickett','Land of 1000 Dances'
'The Rolling Stones','Midnight Rambler'
'The Dickies','Banana Splits (The Tra La La Song)'
'Plastic Bertrand','Ca Plane Pour Moi'
'Badfinger','No Matter What'
'The Yardbirds','I''''m a Man'
'Ash','Kung Fu'
'Teresa Brewer','Music! Music! Music!'
'The Rolling Stones','Mother''''s Little Helper'
'George Morgan','Room Full of Roses'
'Cracker','Teen Angst (What the World Needs Now)'
'Bread','Make It With You'
'The Trashmen','Surfin'''' Bird'
'Gun Club','For the Love of Ivy'
'John Lennon','Jealous Guy'
'The B-52''''s','Rock Lobster'
'Elvis Presley','Blue Suede Shoes'
'A Tribe Called Quest','I Left My Wallet in El Segundo'
'Madness','One Step Beyond'
'Madness','Baggy Trousers'
'Rick Nelson','Waitin'''' in School'
'Thin Lizzy','The Boys Are Back in Town'
'The Mamas & the Papas','Creeque Alley'
'Mazzy Star','Fade Into You'
'Frank Sinatra','One for My Baby (And One More for the Road)'
'Sammy Hagar','I Can''''t Drive 55'
'Willie Nelson','Pretty Paper'
'The Smiths','This Charming Man'
'America','Sister Golden Hair'
'Gordon Lightfoot','Sundown'
'Lefty Frizzell','Always Late (With Your Kisses)'
'Tim Hardin','Misty Roses'
'The Monkees','Daydream Believer'
'The Beautiful South','Old Red Eyes Is Back'
'Randy Newman','I Think It''''s Going to Rain Today'
'Belle & Sebastian','The Stars of Track and Field'
'The Andrews Sisters','Don''''t Sit Under the Apple Tree (With Anyone Else But Me)'
'The Stooges','Loose'
'Eric Dolphy','Iron Man'
'The Kinks','David Watts'
'Syd Barrett','Baby Lemonade'
'Big Joe Turner',"'""Shake'"
'Pearl Jam','Daughter'
'Nirvana','All Apologies'
'Major Lance','The Monkey Time'
'Nazareth','Hair of the Dog'
'Bob Dylan','It Ain''''t Me Babe'
'Foreigner','Double Vision'
'Derek & the Dominos','Anyday'
'The Who','Amazing Journey'
'David Bowie','Moonage Daydream'
'The Rolling Stones','Start Me Up'
'MC5','I Can Only Give You Everything'
'Simon & Garfunkel','Homeward Bound'
'*NSYNC','Bye Bye Bye'
'Eminem','The Way I Am'
'Public Enemy','911 Is a Joke'
'Hoyt Axton','Della and the Dealer'
'Stiff Little Fingers','Alternative Ulster'
'Sparks','I Predict'
'Johnnie Ray','Cry'
'The Dukes of Stratosphear','Vanishing Girl'
'Siouxsie and the Banshees','Hong Kong Garden'
'Anthrax','Bring the Noise'
'Roy Wood','Songs of Praise'
'Waylon Jennings','Only Daddy That''''ll Walk the Line'
'X','We''''re Desperate'
'The Stone Roses','I Am the Resurrection'
'Harry Nilsson','Me and My Arrow'
'Black Sabbath','Sweet Leaf'
'Television','See No Evil'
'Del tha Funkee Homosapien','Mistadobalina'
'Johnny Paycheck','Take This Job and Shove It'
'Derek & the Dominos','Layla'
'Poison','Unskinny Bop'
'Dexys Midnight Runners','Come on Eileen'
'Big Star','September Gurls'
'Sonny Rollins','Cutie'
'Gene Clark','Tried So Hard'
'The Misfits','Last Caress'
'Percy Sledge','When a Man Loves a Woman'
'Take That','Back for Good'
'Pulp','Babies'
'Queen','Bohemian Rhapsody'
'The Smiths','Hand in Glove'
'Camper Van Beethoven','Take the Skinheads Bowling'
'Poco','Just for Me and You'
'The Coasters','Searchin'''''
'Pere Ubu','Final Solution'
'Echo & the Bunnymen','The Killing Moon'
'Cowboy Junkies','Misguided Angel'
'Joan Baez','Diamonds & Rust'
'Michael Jackson','Don''''t Stop ''''Til You Get Enough'
'Link Wray','Rumble'
'James Carr','The Dark End of the Street'
'Journey','Don''''t Stop Believin'''''
'The Creation','Making Time'
'U2','I Still Haven''''t Found What I''''m Looking For'
'Oingo Boingo','Dead Man''''s Party'
'The dB''''s','Love Is for Lovers'
'Scud Mountain Boys','In a Ditch'
'Bob Dylan','Just Like Tom Thumb''''s Blues'
'Ween','Piss up a Rope'
'Cypress Hill','Insane in the Brain'
'The Delfonics','La-La (Means I Love You)'
'The Strokes','Last Nite'
'Elton John','Goodbye Yellow Brick Road'
'The Association','Windy'
'Black Sabbath','War Pigs'
'Belle & Sebastian','The Fox in the Snow'
'Blondie','X Offender'
'U2','Where the Streets Have No Name'
'Air','Kelly Watch the Stars'
'Big Star','When My Baby''''s Beside Me'
'Army of Lovers','Crucified'
'Captain Beefheart','Abba Zaba'
'The Stone Roses','Waterfall'
'Method Man','Bring the Pain'
'The Clash','White Riot'
'The Fall','Big New Prinz'
'The Five Stairsteps','O-o-h Child'
'Art Blakey','Moanin'''''
'Glenn Miller','In the Mood'
'Marvin Gaye','What''''s Happening Brother'
'Bomb the Bass','Bug Powder Dust'
'Fleetwood Mac','Jumping at Shadows'
'Bob Dylan','Subterranean Homesick Blues'
'Stevie Wonder','You Are the Sunshine of My Life'
'Led Zeppelin','Heartbreaker'
'Jackie Wilson','(Your Love Keeps Lifting Me) Higher and Higher'
'Bob Dylan','Million Dollar Bash'
'The Orb','Little Fluffy Clouds'
'Miles Davis','Sanctuary'
'Unrest','Breather X.O.X.O.'
'Desi Arnaz','Babalu'
'Richard Thompson','Shoot Out the Lights'
'Little Richard','Lucille'
'Mitch Ryder','Jenny Take a Ride!'
'Pixies','Debaser'
'Bad Company','Can''''t Get Enough'
'Big Brother & the Holding Company','Piece of My Heart'
'Blue Cheer','Summertime Blues'
'Fear','I Don''''t Care About You'
'Billy Joel','This Night'
'Genesis','I Know What I Like (In Your Wardrobe)'
'Dizzy Gillespie','Salt Peanuts'
'The Monkees','I''''m a Believer'
'Tom Lehrer','Poisoning Pigeons in the Park'
'Ween','Freedom of ''''76'
'Louis Armstrong','Potato Head Blues'
'The Cowsills',"'""The Rain'"
'Ronnie Milsap','She Keeps the Home Fires Burning'
'The Velvet Underground','I Heard Her Call My Name'
'George Jones','She Thinks I Still Care'
'Blur','Girls & Boys'
'Leonard Cohen',"'""So Long'"
'Minor Threat','In My Eyes'
'Bronski Beat','Smalltown Boy'
'Howlin'''' Wolf','Smokestack Lightning'
'Jethro Tull','Bungle in the Jungle'
'Bob Dylan','Maggie''''s Farm'
'Blondie','Heart of Glass'
'Jewel','I''''m Sensitive'
'George Jones','A Picture of Me (Without You)'
'They Might Be Giants','Birdhouse in Your Soul'
'The Velvet Underground','Venus in Furs'
'The Ink Spots','Don''''t Get Around Much Anymore'
'Muddy Waters','I Just Want to Make Love to You'
'The Archies','Bang Shang-A-Lang'
'Primus','Tommy the Cat'
'Bad Brains','Pay to Cum'
'Talking Heads','Swamp'
'The Chemical Brothers','Block Rockin'''' Beats'
'U2','Sunday Bloody Sunday'
'Ravi Shankar','Raga Jog'
'The Mamas & the Papas','California Dreamin'''''
'Elton John','Daniel'
'Falco','Rock Me Amadeus'
'Paul Anka','Put Your Head on My Shoulder'
'Ice Cube','Steady Mobbin'''''
'Beck','Where It''''s At'
'The Crests','Sixteen Candles'
'Throwing Muses','Counting Backwards'
'XTC','Dear God'
'Johnny Cash','Long Black Veil'
'Liza Minnelli',"'""Theme from New York'"
'Roy Brown','Good Rockin'''' Tonight'
'Cheap Trick','Surrender'
'Bootsy Collins','Bootzilla'
'Spike Jones','Der Fuehrer''''s Face'
'Ornette Coleman','Congeniality'
'Buffalo Springfield','Expecting to Fly'
'Rosanne Cash','Seven Year Ache'
'Bob Dylan','I''''ll Be Your Baby Tonight'
'The Spencer Davis Group','I''''m a Man'
'Beth Orton','Stolen Car'
'X','The World''''s a Mess; It''''s in My Kiss'
'Percy Faith',"'""Theme from ""A Summer Place""""'"
'Badfinger','Suitcase'
'Throbbing Gristle','20 Jazz Funk Greats'
'Jim Croce','Time in a Bottle'
'The Prodigy','Smack My Bitch Up'
'Eric Matthews','My Morning Parade'
'Spanky & Our Gang','Sunday Will Never Be the Same'
'The Kinks','The Village Green Preservation Society'
'Blur','Country House'
'Alice in Chains','Man in the Box'
'Bob Dylan','Highlands'
'Aphex Twin','Xtal'
'Buffalo Tom','Taillights Fade'
'Sam Butera','French Poodle'
'Snoop Dogg','Who Am I (What''''s My Name)?'
'The Exciters','Tell Him'
'OutKast',"'""So Fresh'"
'Johnny Cash','Hey Porter'
'Antonio Carlos Jobim','Desafinado'
'The Cramps','The Crusher'
'The Kinks','Come Dancing'
'The Bangles','Eternal Flame'
'Jewel Akens','The Birds and the Bees'
'Paul McCartney','Silly Love Songs'
'The Doobie Brothers','Rockin'''' Down the Highway'
'Britney Spears','...Baby One More Time'
'Blur','Song 2'
'Jan & Dean','Surf City'
'Joan Jett','Bad Reputation'
'David Bowie','Starman'
'R.E.M.','Orange Crush'
'Beastie Boys','So What''''cha Want'
'Bob Dylan','If Not for You'
'Dave Berry','The Crying Game'
'Rick Springfield','Jessie''''s Girl'
'The Fall','Hit the North'
'Fatboy Slim','The Rockafeller Skank'
'Primal Scream','MBV Arkestra (If They Move Kill ''''Em)'
'The Soft Boys','Underwater Moonlight'
'Miles Davis','My Funny Valentine'
'The Andrews Sisters','Boogie Woogie Bugle Boy'
'The Capris','There''''s a Moon Out Tonight'
'The Beatles','Things We Said Today'
'Rod Stewart','(I Know) I''''m Losing You'
'James Brown','Say It Loud (I''''m Black and I''''m Proud)'
'Lou Reed','Romeo Had Juliette'
'Pet Shop Boys','Opportunities (Let''''s Make Lots of Money)'
'Kim Fowley','Animal Man'
'Robert Johnson','Hellhound on My Trail'
'Newcleus','Jam on Revenge (The Wikki-Wikki Song)'
'Rickie Lee Jones','Chuck E.''''s in Love'
'Def Leppard','Photograph'
'Badly Drawn Boy','Everybody''''s Stalking'
'Dusty Springfield','Wishin'''' and Hopin'''''
'The Runaways','Cherry Bomb'
'Nirvana','Dive'
'Curtis Mayfield','It''''s All Right'
'Wilson Pickett','Mustang Sally'
'Bob Dylan','Highway 61 Revisited'
'Ray Charles','Night Time Is the Right Time'
'Iron Maiden','Run to the Hills'
'Madonna','Holiday'
'Sweet','Little Willy'
'Miles Davis','Summertime'
'Was (Not Was)','Walk the Dinosaur'
'Koko Taylor','Wang Dang Doodle'
'The Box Tops','Cry Like a Baby'
'Miles Davis','Miles Ahead'
'Nick Gilder','Hot Child in the City'
'The Byrds','All I Really Want to Do'
'The Manhattan Transfer','Boy from New York City'
'Sonic Youth','Expressway to Yr. Skull'
'Supergrass','Caught by the Fuzz'
'Bob Dylan','Shelter from the Storm'
'R. Carlos Nakai','Canyon Reverie'
'The Cardigans','Lovefool'
'Poison','Nothin'''' but a Good Time'
'Daft Punk','Da Funk'
'Duke Ellington','East St. Louis Toodle-Oo'
'The Who',"'""A Quick One'"
'Burt Bacharach','(They Long to Be) Close to You'
'Gil Scott-Heron','Johannesburg'
'The Flying Burrito Brothers','Farther Along'
'''''Til Tuesday','Voices Carry'
'Billy Idol','Rebel Yell'
'Pet Shop Boys','Rent'
'The Who','Eminence Front'
'Led Zeppelin','Communication Breakdown'
"'Elvis Costello, Elvis Costello; the Attractions'",'Beyond Belief'
'The Housemartins','Happy Hour'
'They Might Be Giants','(She Was A) Hotel Detective'
'Neko Case','Bowling Green'
'Happy Mondays','Kinky Afro'
'Elvis Costello','Alison'
'Neil Young','Sedan Delivery'
'Van Morrison','Tupelo Honey'
'Stereo Total','Beautycase'
'The Kinks','Don''''t Forget to Dance'
'Simon & Garfunkel','Mrs. Robinson'
'Rufus Thomas','Walking the Dog'
'The Rascals','A Beautiful Morning'
'Guns N'''' Roses','Paradise City'
'Jewel','You Were Meant for Me'
'Fred Neil','The Dolphins'
'Hasil Adkins','No More Hot Dogs'
'Green River','Swallow My Pride'
'Faith No More','A Small Victory'
'U2','Pride (In the Name of Love)'
'The Rolling Stones','Little Red Rooster'
'Dean Martin','Ain''''t That a Kick in the Head'
'The Time','777-9311'
'Cocteau Twins','Iceblink Luck'
'Freedy Johnston','This Perfect World'
'Carmen McRae','Comes Love'
'Bay City Rollers','Saturday Night'
'Bush','Everything Zen'
'The Doors','Celebration of the Lizard'
'The Germs','Forming'
'Sarah Vaughan','Misty'
'John Cale','Child''''s Christmas in Wales'
'David Bowie','Suffragette City'
'PJ Harvey','Rid of Me'
'Tom Waits','Jockey Full of Bourbon'
'Aerosmith','Back in the Saddle'
'The Searchers','Needles and Pins'
'Blondie','Rapture'
'The Auteurs','Show Girl'
'Eddie & the Hot Rods','Teenage Depression'
'Supergrass','Mansize Rooster'
'Blue Cheer','Out of Focus'
'Eagles','Take It to the Limit'
'Black Sabbath','Black Sabbath'
'Big Maybelle','One Monkey Don''''t Stop No Show'
'Bob Dylan','Not Dark Yet'
'Janis Joplin','Piece of My Heart'
'Felt','Primitive Painters'
'Pantera','Cemetery Gates'
'Atari Teenage Riot','Start the Riot'
'Stevie Wonder','Isn''''t She Lovely'
'Loudon Wainwright III','Dead Skunk'
'Mojo Nixon','Elvis Is Everywhere'
'Squeeze','Up the Junction'
"'David Bowie, Rick Wakeman'",'Space Oddity'
'Sam Cooke','A Change Is Gonna Come'
'New Order','True Faith'
'Tommy James & the Shondells','Mony Mony'
'Alice in Chains','Got Me Wrong'
'R.E.M.','Imitation of Life'
'TLC','No Scrubs'
'Frank Sinatra','These Foolish Things'
'Paul Carrack','Don''''t Shed a Tear'
'The Rutles','I Must Be in Love'
'The Pogues','If I Should Fall from Grace With God'
'Faces','Had Me a Real Good Time'
'Toni Basil','Mickey'
'Frank Sinatra','Try a Little Tenderness'
'Hank Ballard','Finger Poppin'''' Time'
'Nirvana','Heart Shaped Box'
'Art Blakey','Free for All'
'The Beatles','It''''s All Too Much'
'Julie Andrews','My Favorite Things'
'Helmet','In the Meantime'
'Barry Manilow','Mandy'
'The Everly Brothers','All I Have to Do Is Dream'
'Lyle Lovett','Here I Am'
'Hank Williams','Honky Tonkin'''''
'Saint Etienne','Join Our Club'
'The Temptations','Just My Imagination (Running Away With Me)'
'Little Feat','Fat Man in the Bathtub'
'Digital Underground','Underwater Rimes'
'The Barracudas','Summer Fun'
'Bob Marley',"'""No Woman'"
'Hank Ballard',"'""Let''''s Go'"
'Frank Sinatra','When Your Lover Has Gone'
'The Kinks','Waterloo Sunset'
'Chuck Berry','Rock & Roll Music'
'Gene',"'""Be My Light'"
'Buddy Rich','Groovin'''' Hard'
'Frank Sinatra','Too Marvelous for Words'
'Billy Joel','New York State of Mind'
'Lauryn Hill','Doo Wop (That Thing)'
'Buddy Holly',"'""Oh'"
'Syd Barrett','Octopus'
'Ray Charles','Sitting on Top of the World'
'The Rascals','Good Lovin'''''
'Roger Miller','Kansas City Star'
'Kate Bush','Wuthering Heights'
'Billy Joel','The Longest Time'
'Joy Division','Transmission'
'Mission of Burma','That''''s When I Reach for My Revolver'
'The Replacements','Can''''t Hardly Wait'
'The Isley Brothers','Twist and Shout'
'The Clash','The Call Up'
'George Jones','Why Baby Why'
'The Band','The Night They Drove Old Dixie Down'
'Big Country','In a Big Country'
'The Beautiful South','Song for Whoever'
'Ashford & Simpson','Solid'
'Lynyrd Skynyrd','Gimme Three Steps'
'Joe Williams','Goin'''' to Chicago'
'Gram Parsons','In My Hour of Darkness'
'The Beatles','Penny Lane'
'The Divine Comedy','Something for the Weekend'
'The Smiths','Heaven Knows I''''m Miserable Now'
'The Doors','Break on Through (To the Other Side)'
'The Jackson 5','ABC'
'10cc','The Wall Street Shuffle'
'The Rolling Stones','2000 Light Years from Home'
'Blur','To the End'
'Yo La Tengo','My Little Corner of the World'
'The Neville Brothers','Tell It Like It Is'
'LaVern Baker','Jim Dandy'
'Danzig','Mother'
'Boogie Down Productions','Bridge Is Over'
'Aretha Franklin','Respect'
'The Rentals','Friends of P.'
'Smokey Robinson','The Tracks of My Tears'
'Bon Jovi','Bad Medicine'
'The Jam','Town Called Malice'
'Phil Collins','A Groovy Kind of Love'
'New Vaudeville Band','Winchester Cathedral'
'Frank Sinatra','Time After Time'
'Dean Martin','Memories Are Made of This'
'Traffic','Dear Mr. Fantasy'
'Bobby Darin',"'""Hello'"
'Hank Williams','Jambalaya (On the Bayou)'
'James Taylor','You''''ve Got a Friend'
'Blur','Pop Scene'
'Pixies','Tame'
'Prince','Let''''s Go Crazy'
'The Police','Can''''t Stand Losing You'
'Billie Holiday','Lover Man'
'Dolly Parton','Here You Come Again'
'Little Richard','Good Golly Miss Molly'
'Cilla Black','Alfie'
'Utopia','Feet Don''''t Fail Me Now'
'Wynonie Harris','Good Rockin'''' Tonight'
'The Rolling Stones','Angie'
'Matthew Sweet','I''''ve Been Waiting'
'Gram Parsons','Still Feeling Blue'
'Miles Davis','In Your Own Sweet Way'
'Frank Sinatra','Nancy (With the Laughing Face)'
'Billy Ray Cyrus','Achy Breaky Heart'
'Johnny Mathis','Wonderful! Wonderful!'
'Coldplay','Yellow'
'Craig Mack','Flava in Ya Ear'
'The Cure','Killing an Arab'
'Burt Bacharach','Pacific Coast Highway'
'Chairmen of the Board','Give Me Just a Little More Time'
'Low','Over the Ocean'
'Al Stewart','Year of the Cat'
'Tenacious D','Explosivo'
'Paula Cole','I Don''''t Want to Wait'
'Glen Campbell','Gentle on My Mind'
'Mudhoney','In ''''N'''' Out of Grace'
'Talking Heads','Psycho Killer'
'Pet Shop Boys','Being Boring'
'Live','Lightning Crashes'
'Buzzcocks','Orgasm Addict'
'The Animals','We Gotta Get Out of This Place'
'Brian Eno','Baby''''s on Fire'
'The Kinks','Victoria'
'Gerry Mulligan','Line for Lyons'
'Bread','If'
'Nick Drake','At the Chime of a City Clock'
'Willie Nelson','All of Me'
'Mose Allison','Parchman Farm'
'Public Enemy','Welcome to the Terrordome'
'Big Star','You Can''''t Have Me'
'Dusty Springfield','I Only Want to Be With You'
'Gregory Isaacs','All I Have Is Love'
'Lene Lovich','Lucky Number'
'The Dead Milkmen','Bitchin'''' Camaro'
'Billie Holiday','Fine and Mellow'
'The Marvelettes','Beechwood 4-5789'
'Nancy Sinatra','Some Velvet Morning'
'The Sundays','Here''''s Where the Story Ends'
'Joe Cocker','With a Little Help from My Friends'
'James Brown','Night Train'
'Smokey Robinson','Ooo Baby Baby'
'Randy Newman','Sail Away'
'The Kinks','Picture Book'
'Eddy Arnold','What''''s He Doing in My World'
'Harry Nilsson','I Guess the Lord Must Be in New York City'
'The Innocence Mission','Bright as Yellow'
'Malcolm McLaren','Buffalo Gals'
'The Kingsmen',"'""Louie'"
'Beastie Boys','Fight for Your Right'
'Yo La Tengo','Autumn Sweater'
'Graham Parker','Local Girls'
'Destiny''''s Child','Survivor'
'The Doors','Riders on the Storm'
'Roy Orbison','Only the Lonely'
'Pete Townshend','Slit Skirts'
'Spike Jones','William Tell Overture'
'The Fall','15 Ways (To Leave Your Man)'
'Echo & the Bunnymen','Bring on the Dancing Horses'
'Lenny Kravitz','Are You Gonna Go My Way'
'Aerosmith','Walk This Way'
'Kid Rock','Cowboy'
'Nick Lowe','Cracking Up'
'Frank Sinatra','I''''ve Got a Crush on You'
'Hoagy Carmichael','Stardust'
'Neil Sedaka','Calendar Girl'
'Chuck Berry','No Particular Place to Go'
'Guns N'''' Roses','Mr. Brownstone'
'The Proclaimers','I''''m Gonna Be (500 Miles)'
'Billy Joel','Tell Her About It'
'The Rolling Stones','Live with Me'
'The Orb','Blue Room'
'Bee Gees','Too Much Heaven'
'George Jones','A Good Year for the Roses'
'Jackie McLean','Frankenstein'
'Johnny Cash','I Still Miss Someone'
'Supertramp','Bloody Well Right'
'Love','My Little Red Book'
'Young MC','Bust a Move'
'John Prine','Sam Stone'
'Marc Almond','The Stars We Are'
'Brownsville Station','Smokin'''' in the Boy''''s Room'
'Bob Dylan','Everything Is Broken'
'Jeff Buckley','Grace'
'Suede','The Wild Ones'
'Brian Eno','Burning Airlines Give You So Much More'
'R.E.M.','Nightswimming'
'The Monkees','Last Train to Clarksville'
'Billy Joel','Say Goodbye to Hollywood'
'Alabama','The Closer You Get'
'The Association','Cherish'
'Basement Jaxx','Jump N'''' Shout'
'The Beach Boys','California Girls'
'Eddie Cochran','Summertime Blues'
'Liz Phair','Supernova'
'David Houston','My Elusive Dreams'
'Led Zeppelin','Whole Lotta Love'
'Faces','Stay With Me'
'Donald Fagen','I.G.Y.'
'Harry Nilsson','1941'
'Jo Stafford','You Belong to Me'
'Kathy Mattea','Eighteen Wheels and a Dozen Roses'
'Steely Dan','Deacon Blues'
'Fats Waller','Ain''''t Misbehavin'''''
'Madonna','Express Yourself'
'Devo','Whip It'
'Nirvana','In Bloom'
'Jacques Brel','Amsterdam'
'Busta Rhymes','Put Your Hands Where My Eyes Could See'
'Talking Heads','Once in a Lifetime'
'Prince','Raspberry Beret'
'Barclay James Harvest','Mocking Bird'
'Public Enemy','Rebel Without a Pause'
'Bob Dylan','Just Like a Woman'
'Joe Walsh','Rocky Mountain Way'
'The Exploited','Exploited Barmy Army'
'The Clash','I''''m So Bored with the U.S.A.'
'The Boo Radleys','Wake Up Boo!'
'Eric Clapton','Layla'
'The Flaming Lips','She Don''''t Use Jelly'
'Fats Waller','The Joint Is Jumpin'''''
'Edd Byrnes',"'""Kookie'"
'Spike Jones','All I Want for Christmas Is My Two Front Teeth'
'The Supremes','Baby Love'
'Deep Purple','Highway Star'
'Randy Newman','Short People'
'Frank Sinatra','As Time Goes By'
'Korn','Freak on a Leash'
'John Lennon','Cold Turkey'
'Fontella Bass','Rescue Me'
'The Wallflowers','Three Marlenas'
'Low','Sunflower'
'John Zorn','Godard'
'Irma Thomas','It''''s Raining'
'Badfinger','Without You'
'Kyuss','Thumb'
'Boston','More Than a Feeling'
'Burt Bacharach','Trains and Boats and Planes'
'The Lovin'''' Spoonful','Daydream'
'The Vapors','Turning Japanese'
'Gang of Four','At Home He''''s a Tourist'
'The Housemartins','Caravan of Love'
'Belle & Sebastian','Like Dylan in the Movies'
'Nat King Cole','Mona Lisa'
'Albert Collins','Frosty'
'Jay-Z','Big Pimpin'''''
'The B-52''''s','Planet Claire'
'Billy Joel','Pressure'
'The Modern Jazz Quartet','Django'
'Louis Jordan','Five Guys Named Moe'
'Grant Lee Buffalo','Fuzzy'
'Simple Minds','Don''''t You (Forget About Me)'
'Sonic Youth','Teen Age Riot'
'My Bloody Valentine','Feed Me With Your Kiss'
'The Rolling Stones','Let''''s Spend the Night Together'
'Magazine','Shot by Both Sides'
'Tori Amos','Cornflake Girl'
'Happy Mondays','Step On'
'Wilbert Harrison','Kansas City'
'The Kinks','Where Have All the Good Times Gone'
'Johnny Cash','Sunday Morning Coming Down'
'Fiona Apple','Criminal'
'The Levellers','One Way'
'T. Rex','Ride a White Swan'
'Bob Dylan','My Back Pages'
'Pixies','Bone Machine'
'Nick Drake','Pink Moon'
'Suede','Beautiful Ones'
'The Velvet Underground','Heroin'
'Michael Jackson','Bad'
'The Damned','Machine Gun Etiquette'
'Pat Benatar','Hit Me With Your Best Shot'
'Edwyn Collins','A Girl Like You'
'Pere Ubu','The Modern Dance'
'Chad & Jeremy','A Summer Song'
'The Pogues','Fairytale of New York'
'Buck Owens','Act Naturally'
'David Bowie','Oh! You Pretty Things'
'Little Richard','Rip It Up'
'Black Flag','Rise Above'
'Super Furry Animals','God! Show Me Magic'
'Jimmy Rushing','Sent for You Yesterday (And Here You Come Today)'
'Steve Winwood','Roll With It'
'Slick Rick','Children''''s Story'
'Nat King Cole','Sweet Lorraine'
'Sade','Smooth Operator'
'Martin Denny','Quiet Village'
'Patsy Cline','Sweet Dreams'
'Beck','Loser'
'A Tribe Called Quest','Bonita Applebum'
'Alice Cooper','No More Mr. Nice Guy'
'The Who','Magic Bus'
'Lil Johnson','Get ''''Em from the Peanut Man (The New Hot Nuts)'
'Frankie Ford','Sea Cruise'
'Tony Williams','Emergency'
'The Kinks','Days'
'Guns N'''' Roses','Night Rain'
'The Who','Baba O''''Riley'
'10cc','The Things We Do for Love'
'Radiohead','Karma Police'
'Mudhoney','You Got It (Keep It Outta My Face)'
'Cheb Mami','Meli Meli'
'Nina Simone','Mississippi Goddam'
'Willie Nelson','Help Me Make It Through the Night'
'Foo Fighters','This Is a Call'
'Screamin'''' Jay Hawkins','I Put a Spell on You'
'Eddie Floyd','Knock on Wood'
'Massive Attack','Karmacoma'
'Ramones','Do You Remember Rock ''''N'''' Roll Radio_'
'Homer & Jethro','The Battle of Kookamonga'
'Paul Davis','I Go Crazy'
'Edwin Starr','War'
'Radiohead','High and Dry'
'Onyx','Slam'
'Procol Harum','A Whiter Shade of Pale'
'Bratmobile','The Real Janelle'
'Sam & Dave','I Thank You'
'Gram Parsons','How Much I''''ve Lied'
'The Monkees','(I''''m Not Your) Steppin'''' Stone'
'Cassandra Wilson','Time After Time'
'Bow Wow Wow',"'""C30'"
'U2','Sweetest Thing'
'Radiohead','Creep'
'Enya','Orinoco Flow'
'R.E.M.','Drive'
'Death','Open Casket'
'Carole King','So Far Away'
'Tenpole Tudor','Wunderbar'
'Joe Jackson','Got the Time'
'Joe Tex','S.Y.S.L.J.F.M. (The Letter Song)'
'Biz Markie','Just a Friend'
'Iris DeMent','Our Town'
'The Rolling Stones','19th Nervous Breakdown'
'XTC','The Ballad of Peter Pumpkinhead'
'Gerry Mulligan','In a Mellow Tone'
'The B-52''''s','Private Idaho'
